claim_id,worker_id,claim_amount,claim_type,latitude,longitude,hour_of_day,day_of_week,is_weekend,worker_experience_months,worker_claims_last_30d,worker_avg_claim_amount,worker_rejection_rate,location_risk_score,time_risk_score,amount_risk_score,pattern_risk_score,gps_anomaly_score,weather_validity_score,behavioral_anomaly_score,is_fraud
CLAIM_000000,WORKER_0103,816.8886881742095,SEVERE_CONGESTION,13.07943376105393,77.67520454368082,6,1,0,19,6,234.85016730091968,0.2598528437324805,0.6011150117432088,0.09127267288786131,0.055797544260816734,0.08764339456056544,0.12958350559263473,0.11649165607921677,0.7335558684167138,0
CLAIM_000001,WORKER_0687,656.5474083997785,EXTREME_HEAT,12.666229042220081,77.2305222406541,2,4,0,51,6,302.31447421237493,0.019515477895583853,0.9488855372533332,0.5564242430292963,0.2270801311279966,0.009393987736667575,0.22660842309529572,0.1700623497964979,0.31238249886045666,0
CLAIM_000002,WORKER_0202,905.3446153848839,SEVERE_POLLUTION,13.101504795820668,77.64059231849309,13,6,1,57,7,706.7203092068908,0.22419603304121424,0.5396921323890798,0.1270204442119109,0.28453678109946,0.2370526621593617,0.08804645241541144,0.0056319290860337825,0.5596527212266416,0
CLAIM_000003,WORKER_0041,923.4637079894027,HEAVY_RAINFALL,13.05564680792866,77.61882101609841,15,6,1,23,7,599.553413970498,0.17738933631231812,0.27472179299006416,0.012130076861529403,0.35830543826940775,0.14261106695463352,0.033267246243549396,0.17573460074630806,0.5605157607006188,0
CLAIM_000004,WORKER_0485,324.36300623398745,HEAVY_RAINFALL,13.052009494846303,77.51161358047355,12,6,1,59,2,296.73277235240266,0.2789092957027719,0.808120379564417,0.24223204654921876,0.17084311545050254,0.24540442977674792,0.09540104249155916,0.044020769811070705,0.36838054876258247,0
CLAIM_000005,WORKER_0456,580.6804774378977,SEVERE_POLLUTION,12.90691366934377,77.53905306853183,11,6,1,59,5,331.2585317438421,0.16743060060520235,0.4038361710580408,0.29932214551468256,0.1380284992106732,0.19030540341040914,0.2929844867497959,0.16441480532729252,0.3099152198701645,0
CLAIM_000006,WORKER_0730,987.0854086995406,EXTREME_HEAT,13.025752224181812,77.56792899677349,23,2,0,17,5,420.6698796315519,0.18969174917807383,0.6335297107608947,0.671025744736913,0.06974657160199658,0.20728132143073977,0.1536279174897843,0.09059831007917518,0.743551837122835,0
CLAIM_000007,WORKER_0641,708.1211053353527,HEAVY_RAINFALL,12.862288233967659,77.78547674762721,9,2,0,7,9,789.3010059976614,0.15499076738130427,0.260829174830409,0.25399834267149174,0.374253997688379,0.23560219533418306,0.12135243813665703,0.35510803950438397,0.7552785346302537,0
CLAIM_000008,WORKER_0112,191.3243885794289,SEVERE_CONGESTION,13.188139749998072,77.6257861711931,13,1,0,2,5,469.0544857917484,0.2983372387832462,0.17592525267734538,0.09241823755571676,0.23594833902421755,0.2936678574825027,0.152644223051628,0.25453304727435816,0.37513854558167525,0
CLAIM_000009,WORKER_0027,815.3301731874835,SEVERE_POLLUTION,13.056569332239858,77.68794590460833,0,4,0,48,2,543.2025195255098,0.23056620429189267,0.04360377175443375,0.6211059867341959,0.07636441246013842,0.08054245706704705,0.2940994751148137,0.030138502402451285,0.39170910578615453,0
CLAIM_000010,WORKER_0735,859.7918266536802,SEVERE_CONGESTION,12.983101321139685,77.5678146630263,14,5,1,23,1,352.49818944184324,0.08858717652568161,0.3225507642386005,0.18345411325970415,0.028376366799971065,0.11903514816416651,0.0015554588321960328,0.25115776597945444,0.3082821860536127,0
CLAIM_000011,WORKER_0143,438.02465737594963,SEVERE_POLLUTION,13.02297485715349,77.70323787541867,18,0,0,58,5,554.4999563414065,0.009150074981714829,0.03734818874921442,0.18686714274570007,0.2549719605992826,0.21782740011679846,0.01550451635058231,0.21254185262725922,0.16219053648303194,0
CLAIM_000012,WORKER_0670,136.9607650910882,EXTREME_HEAT,12.883105999454946,77.61728869407682,22,1,0,37,9,777.589048806755,0.25079403615366175,0.695974206093698,0.19805921301531937,0.2446882984937409,0.12588001872833696,0.28645958419895823,0.2951587666783074,0.6663062157534202,0
CLAIM_000013,WORKER_0997,208.14818302507797,HEAVY_RAINFALL,12.890818216658843,77.55822595231905,16,5,1,46,3,305.1981619336031,0.005148330549525071,0.7633644230039109,0.07826808700251418,0.27358550775925644,0.18475534931697415,0.2800308924238449,0.2004159535661037,0.16181323452001875,0
CLAIM_000014,WORKER_0988,627.198023146117,SEVERE_CONGESTION,13.1199834633023,77.72243953858408,2,3,0,33,0,686.7225060416017,0.2461918427231866,0.6259396701015728,0.6473015537351572,0.13624982778569603,0.07820835847077093,0.19671679061422265,0.15415864838622603,0.5044841006918369,0
CLAIM_000015,WORKER_0626,666.0485621018956,HEAVY_RAINFALL,12.775673019386446,77.58073233918941,3,1,0,37,8,541.112170249975,0.17277737257742537,0.7316477552996402,0.6959635041789498,0.1558472344876814,0.08929055235279326,0.11331866585288845,0.21373098941222538,0.6489683572049233,0
CLAIM_000016,WORKER_0445,914.8437787773373,EXTREME_HEAT,13.434430631605917,78.00769151330819,19,2,0,58,4,255.02248835508865,0.18073227777033568,0.5537030523458008,0.1052745037656236,0.0404490704491161,0.02523204183449923,0.042897504615850755,0.30460425268698893,0.7354654189948784,0
CLAIM_000017,WORKER_0946,902.707217899099,SEVERE_POLLUTION,12.847460542468367,77.5500558021521,18,4,0,1,5,687.6797403545015,0.2841745732151576,0.9860010638228709,0.033359244691845404,0.04752716650722877,0.035257874033131464,0.0034060934302257207,0.18746425679765052,0.3168909827045512,0
CLAIM_000018,WORKER_0973,313.75582416322294,HEAVY_RAINFALL,12.904492869843626,77.56380994484377,23,0,0,38,4,777.9335236643668,0.003646342406944902,0.969878826707639,0.6092391376680595,0.2337257247692401,0.27034740314729666,0.20872460669538515,0.1818164259071093,0.18826742402521904,0
CLAIM_000019,WORKER_0736,152.07750798193666,SEVERE_POLLUTION,12.993604220707864,77.67786408296952,7,1,0,28,3,478.2190429639893,0.10600566840781585,0.5836561118508721,0.24413850591208458,0.37991996531676964,0.217715852516508,0.04878508180346739,0.364370873797537,0.24676117287695068,0
CLAIM_000020,WORKER_0824,888.9953373332135,SEVERE_CONGESTION,12.86256404103072,77.54287483141692,0,5,1,1,1,792.3656775889667,0.045125067331058456,0.5941307153521351,0.4225501986603708,0.222172682241051,0.23069622455415315,0.24387030273902327,0.3998870693144523,0.2989910511221716,0
CLAIM_000021,WORKER_0145,316.9763490966686,HEAVY_RAINFALL,12.865599901758022,77.81671977492955,12,3,0,1,0,654.1994793033373,0.014068940337365976,0.26867248202530736,0.2903921296319469,0.16821431146603005,0.23540047918329285,0.23754535184088987,0.23598235885505445,0.14401379010554252,0
CLAIM_000022,WORKER_0103,222.7343280280928,EXTREME_HEAT,13.205525175468622,77.6564409167404,17,5,1,15,2,742.495216696249,0.1044766401069901,0.5139894891598108,0.27797628754844833,0.19704723759714785,0.09862548308625246,0.0774733164896875,0.18365430249530454,0.2940097725856431,0
CLAIM_000023,WORKER_0883,583.537075042663,SEVERE_CONGESTION,13.018792360811975,77.68760977168587,21,3,0,40,3,407.4003699943179,0.2690365229718035,0.47396164026287235,0.10679744528159583,0.17231987120162984,0.010327051119756903,0.33514805045773166,0.5743576546037044,0.3,1
CLAIM_000024,WORKER_0945,553.0755437693712,HEAVY_RAINFALL,12.949968064460467,77.56720785963734,14,0,0,22,7,724.1471744640663,0.2762617201595439,0.06107795985486375,0.14535689555730638,0.01467328115623916,0.07573108330320623,0.11067409187093172,0.18501388645325917,0.7242412814401269,0
CLAIM_000025,WORKER_0750,774.6546088077287,EXTREME_HEAT,12.83074606713104,77.61796839343423,2,2,0,15,8,642.4431236562914,0.054685163542787414,0.5639650920188364,0.6595291361166304,0.23461417386430364,0.16933756275679238,0.17525984541425077,0.29472899015796516,0.3673226797851312,0
